"","x"
"28/02/1991",0.0054
"29/03/1991",-0.0093
"30/04/1991",-0.0821
"31/05/1991",-0.0661
"28/06/1991",-0.105
"31/07/1991",-0.0833
"30/08/1991",-0.0402
"30/09/1991",-0.062
"31/10/1991",-0.0778
"29/11/1991",-0.1123
"31/12/1991",-0.0104
"31/01/1992",-0.1
"28/02/1992",-0.0555
"31/03/1992",-0.0843
"30/04/1992",-0.0902
"29/05/1992",-0.0694
"30/06/1992",-0.0733
"31/07/1992",-0.0374
"31/08/1992",-0.0797
"30/09/1992",-0.0884
"30/10/1992",-0.0343
"30/11/1992",-0.0199
"31/12/1992",-0.0399
"29/01/1993",-0.0518
"26/02/1993",-0.0427
"31/03/1993",-0.0241
"30/04/1993",-0.0937
"31/05/1993",-0.0715
"30/06/1993",-0.0307
"30/07/1993",-0.0337
"31/08/1993",-0.055
"30/09/1993",-0.0487
"29/10/1993",-0.0748
"30/11/1993",-0.1072
"31/12/1993",-0.0225
"31/01/1994",-0.0863
"28/02/1994",-0.0928
"31/03/1994",-0.0858
"29/04/1994",-0.0599
"31/05/1994",-0.0486
"30/06/1994",-0.0722
"29/07/1994",-0.0584
"31/08/1994",-0.0632
"30/09/1994",-0.07
"31/10/1994",-0.0933
"30/11/1994",-0.1085
"30/12/1994",-0.2274
"31/01/1995",-0.1004
"28/02/1995",-0.008
"31/03/1995",-0.026
"28/04/1995",-0.0411
"31/05/1995",-0.0329
"30/06/1995",-0.0285
"31/07/1995",-0.0697
"31/08/1995",-0.0203
"29/09/1995",-0.0205
"31/10/1995",-0.094
"30/11/1995",-0.0274
"29/12/1995",-0.039
"31/01/1996",-0.0382
"29/02/1996",-0.072
"29/03/1996",-0.0678
"30/04/1996",-0.0456
"31/05/1996",-0.0692
"28/06/1996",-0.0553
"31/07/1996",-0.1018
"30/08/1996",-0.0196
"30/09/1996",-0.0263
"31/10/1996",-0.0245
"29/11/1996",-0.0292
"31/12/1996",-0.1
"31/01/1997",-0.0294
"28/02/1997",-0.0412
"31/03/1997",-0.1136
"30/04/1997",-0.0609
"30/05/1997",-0.0147
"30/06/1997",0.0061
"31/07/1997",-0.0192
"29/08/1997",-0.109
"30/09/1997",-8e-04
"31/10/1997",-0.0881
"28/11/1997",-0.0327
"31/12/1997",-0.0273
"30/01/1998",-0.0804
"27/02/1998",0.0016
"31/03/1998",-0.0152
"30/04/1998",-0.0749
"29/05/1998",-0.0848
"30/06/1998",-0.0587
"31/07/1998",-0.1349
"31/08/1998",-0.3297
"30/09/1998",-0.102
"30/10/1998",-0.0566
"30/11/1998",-0.0388
"31/12/1998",-0.1172
"29/01/1999",-0.1232
"26/02/1999",-0.1068
"31/03/1999",-0.1031
"30/04/1999",-0.0129
"31/05/1999",-0.0773
"30/06/1999",-0.0744
"30/07/1999",-0.1114
"31/08/1999",-0.1525
"30/09/1999",-0.1347
"29/10/1999",-0.0699
"30/11/1999",-0.0961
"31/12/1999",-0.1025
"31/01/2000",-0.1467
"29/02/2000",-0.2293
"31/03/2000",-0.0756
"28/04/2000",-0.1531
"31/05/2000",-0.0526
"30/06/2000",-0.152
"31/07/2000",-0.045
"31/08/2000",-0.0096
"29/09/2000",-0.0859
"31/10/2000",-0.0996
"30/11/2000",-0.1818
"29/12/2000",-0.0414
"31/01/2001",-0.1234
"28/02/2001",-0.1408
"30/03/2001",-0.1257
"30/04/2001",-0.0853
"31/05/2001",-0.0242
"29/06/2001",-0.08
"31/07/2001",-0.0794
"31/08/2001",-0.1164
"28/09/2001",-0.1767
"31/10/2001",-0.0952
"30/11/2001",-0.074
"31/12/2001",-0.0403
"31/01/2002",-0.0551
"28/02/2002",-0.0733
"29/03/2002",-0.0297
"30/04/2002",-0.0903
"31/05/2002",-0.0961
"28/06/2002",-0.1062
