Code,US UNEMPLOYMENT RATE SADJ,TED Spread (Liquidity),S&P 500 COMPOSITE - PRICE INDEX,US 3-MONTH U.S. DEP. LIBOR NADJ,US TREASURY BILL RATE - 3 MONTH (EP),CPI,PSF,CRS,Treasury securities at 3-month   constant maturity,NEW CRS,VIX,IR10,BAA bond,Aaa bond,Growth rate of CPI,US 3 MONTH TREASURY BILL RATE
31/01/1991,6.4,0.959,343.93,7.339,6.38,29,-0.092496842,2.36,6.41,-0.99,21.37,8.09,10.45,9.04,0.068965517,6.22
28/02/1991,6.6,0.514,367.07,6.714,6.2,31,-0.019065636,2.22,6.12,-0.61,21.23,7.85,10.07,8.83,0.048387097,5.94
29/03/1991,6.8,0.658,375.22,6.568,5.91,32.5,-0.00565914,1.98,6.09,-0.73,16.88,8.11,10.09,8.93,0.023076923,5.91
30/04/1991,6.7,0.523,375.35,6.223,5.7,33.25,0.021332493,1.9,5.83,-0.54,18.24,8.04,9.94,8.86,0.037593985,5.65
31/05/1991,6.9,0.411,389.83,6.091,5.68,34.5,-0.007937645,1.79,5.63,0.06,16.02,8.07,9.86,8.86,-0.097826087,5.46
28/06/1991,6.9,0.51,371.16,6.2,5.69,31.125,0.028188804,1.68,5.75,0.1,19.55,8.28,9.96,9.01,-0.024096386,5.57
31/07/1991,6.8,0.447,387.81,6.137,5.69,30.375,0.016337539,1.62,5.75,0.03,15.47,8.27,9.89,9,-0.0781893,5.58
30/08/1991,6.9,0.297,395.43,5.777,5.48,28,-0.016850326,1.75,5.5,0.79,14.46,7.9,9.65,8.75,0.008928571,5.33
30/09/1991,6.9,0.356,387.86,5.616,5.26,28.25,0.008629862,1.86,5.37,0.66,15.85,7.65,9.51,8.61,-0.048672566,5.22
31/10/1991,7,0.52,392.46,5.47,4.95,26.875,0.019709287,1.96,5.14,1.12,15.46,7.53,9.49,8.55,-0.158139535,4.99
29/11/1991,7,0.612,375.22,5.082,4.47,22.625,0.043711976,2.03,4.69,1.41,20.26,7.42,9.45,8.48,0.060773481,4.56
31/12/1991,7.3,0.656,417.09,4.606,3.95,24,-0.047669812,2.17,4.18,1.79,17.63,7.09,9.26,8.31,0.083333333,4.07
31/01/1992,7.3,0.241,408.79,4.181,3.94,26,-0.075784777,2.1,3.91,1.8,17.49,7.03,9.13,8.2,-0.081730769,3.8
28/02/1992,7.4,0.151,412.7,4.171,4.02,23.875,-0.045745348,1.89,3.95,1.34,16.68,7.34,9.23,8.29,-0.047120419,3.84
31/03/1992,7.4,0.236,403.69,4.386,4.15,22.75,-0.001307503,1.71,4.14,0.32,15.97,7.54,9.25,8.35,0.087912088,4.04
30/04/1992,7.4,0.496,414.95,4.286,3.79,24.75,-0.004842522,1.73,3.84,0.07,15.53,7.48,9.21,8.33,0.060606061,3.75
29/05/1992,7.6,0.176,415.35,3.976,3.8,26.25,-0.002338965,1.74,3.72,-0.43,13.86,7.39,9.13,8.28,-0.171428571,3.63
30/06/1992,7.8,0.341,408.14,3.991,3.65,21.75,0.018128151,1.79,3.75,-0.08,13.35,7.26,9.05,8.22,-0.091954023,3.66
31/07/1992,7.7,0.426,424.21,3.676,3.25,19.75,0.024990333,2,3.28,0.78,13.5,6.84,8.84,8.07,-0.158227848,3.21
31/08/1992,7.6,0.219,414.03,3.449,3.23,16.625,0.049691933,2.06,3.2,1.08,13.14,6.59,8.65,7.95,-0.015037594,3.13
30/09/1992,7.6,0.541,417.8,3.281,2.74,16.375,-0.021590501,2.2,2.97,1.51,14.28,6.42,8.62,7.92,-0.038167939,2.91
30/10/1992,7.3,0.418,418.68,3.438,3.02,15.75,-0.018761888,2.25,2.93,1.49,16.15,6.59,8.84,7.99,0.23015873,2.86
30/11/1992,7.4,0.467,431.35,3.807,3.34,19.375,-0.053319412,2.09,3.21,0.68,13.01,6.87,8.96,8.1,0,3.13
31/12/1992,7.4,0.481,435.71,3.631,3.15,19.375,-0.027755889,2.04,3.29,0.65,12.6,6.77,8.81,7.98,0.019354839,3.22
29/01/1993,7.3,0.333,438.78,3.303,2.97,19.75,0.002231555,2.07,3.07,0.61,12.42,6.6,8.67,7.91,-0.037974684,3
26/02/1993,7.1,0.229,443.38,3.229,3,19,0.071160785,2.13,2.99,0.56,13.16,6.26,8.39,7.71,-0.105263158,2.93
31/03/1993,7,0.282,451.67,3.242,2.96,17,-0.024666759,2.17,3.01,0.65,12.23,5.98,8.15,7.58,-0.007352941,2.95
30/04/1993,7.1,0.127,440.19,3.077,2.95,16.875,-0.01648798,2.17,2.93,0.65,12.42,5.97,8.14,7.46,-0.111111111,2.87
