Code,US UNEMPLOYMENT RATE SADJ,CPI,US 3 MONTH TREASURY BILL RATE,EXR
31/01/1991,6.4,134.7,6.22,94.5903
28/02/1991,6.6,134.8,5.94,93.1141
29/03/1991,6.8,134.8,5.91,97.9327
30/04/1991,6.7,135.1,5.65,99.9763
31/05/1991,6.9,135.6,5.46,100.6302
28/06/1991,6.9,136,5.57,102.6624
31/07/1991,6.8,136.2,5.58,102.477
30/08/1991,6.9,136.6,5.33,101.1526
30/09/1991,6.9,137,5.22,99.2761
31/10/1991,7,137.2,4.99,98.17
29/11/1991,7,137.8,4.56,96.4113
31/12/1991,7.3,138.2,4.07,95.0567
31/01/1992,7.3,138.3,3.8,94.9199
28/02/1992,7.4,138.6,3.84,97.0311
31/03/1992,7.4,139.1,4.04,99.6276
30/04/1992,7.4,139.4,3.75,99.1855
29/05/1992,7.6,139.7,3.63,97.9237
30/06/1992,7.8,140.1,3.66,95.7542
31/07/1992,7.7,140.5,3.21,93.4442
31/08/1992,7.6,140.8,3.13,92.6645
30/09/1992,7.6,141.1,2.91,93.1177
30/10/1992,7.3,141.7,2.86,95.4827
30/11/1992,7.4,142.1,3.13,99.632
31/12/1992,7.4,142.3,3.22,99.8977
29/01/1993,7.3,142.8,3,101.3737
26/02/1993,7.1,143.1,2.93,101.3468
31/03/1993,7,143.3,2.95,100.2327
30/04/1993,7.1,143.8,2.87,97.6388
31/05/1993,7.1,144.2,2.96,97.2592
30/06/1993,7,144.3,3.07,97.7392
30/07/1993,6.9,144.5,3.04,99.4873
31/08/1993,6.8,144.8,3.02,98.9951
30/09/1993,6.7,145,2.95,98.1764
29/10/1993,6.8,145.6,3.02,99.2568
30/11/1993,6.6,146,3.1,100.6464
31/12/1993,6.5,146.3,3.06,101.4307
31/01/1994,6.6,146.3,2.98,101.915
28/02/1994,6.6,146.7,3.25,100.766
31/03/1994,6.5,147.1,3.5,100.1386
29/04/1994,6.4,147.2,3.68,100.0058
31/05/1994,6.1,147.5,4.14,99.1838
30/06/1994,6.1,147.9,4.14,98.2211
29/07/1994,6.1,148.4,4.33,95.7867
31/08/1994,6,149,4.48,96.1366
30/09/1994,5.9,149.3,4.62,94.844
31/10/1994,5.8,149.4,4.95,93.8192
30/11/1994,5.6,149.8,5.29,94.5152
30/12/1994,5.5,150.1,5.6,96.4475
31/01/1995,5.6,150.5,5.71,95.9433
28/02/1995,5.4,150.9,5.77,94.8701
31/03/1995,5.4,151.2,5.73,91.157
28/04/1995,5.8,151.8,5.65,88.0304
31/05/1995,5.6,152.1,5.67,88.7332
30/06/1995,5.6,152.4,5.47,88.4451
31/07/1995,5.7,152.6,5.42,88.6923
31/08/1995,5.7,152.9,5.4,91.8363
29/09/1995,5.6,153.1,5.28,93.7432
31/10/1995,5.5,153.5,5.28,92.7972
30/11/1995,5.6,153.7,5.36,93.2073
29/12/1995,5.6,153.9,5.14,93.9987
31/01/1996,5.6,154.7,5,95.4019
29/02/1996,5.5,155,4.83,95.6636
29/03/1996,5.5,155.5,4.96,95.6834
30/04/1996,5.6,156.1,4.95,96.4372
31/05/1996,5.6,156.4,5.02,96.8424
28/06/1996,5.3,156.7,5.09,97.1938
31/07/1996,5.5,157,5.15,96.7615
30/08/1996,5.1,157.2,5.05,96.0886
30/09/1996,5.2,157.7,5.09,96.923
31/10/1996,5.2,158.2,4.99,97.4691
29/11/1996,5.4,158.7,5.03,96.5127
31/12/1996,5.4,159.1,4.91,98.1896
31/01/1997,5.3,159.4,5.03,100.1137
28/02/1997,5.2,159.7,5.01,103.3442
31/03/1997,5.2,159.8,5.14,104.1568
30/04/1997,5.1,159.9,5.16,105.4884
30/05/1997,4.9,159.9,5.05,103.2653
30/06/1997,5,160.2,4.93,102.5458
31/07/1997,4.9,160.4,5.05,103.7115
29/08/1997,4.8,160.8,5.14,106.0103
30/09/1997,4.9,161.2,4.95,105.7143
31/10/1997,4.7,161.5,4.97,104.9467
28/11/1997,4.6,161.7,5.14,105.7772
31/12/1997,4.7,161.8,5.16,108.3333
30/01/1998,4.6,162,5.04,109.5968
27/02/1998,4.6,162,5.09,108.42
31/03/1998,4.7,162,5.03,109.1023
30/04/1998,4.3,162.2,4.95,109.7408
29/05/1998,4.4,162.6,5,110.2721
30/06/1998,4.5,162.8,4.98,112.3305
31/07/1998,4.5,163.2,4.96,113.0158
31/08/1998,4.5,163.4,4.9,114.8594
30/09/1998,4.6,163.5,4.61,109.8966
30/10/1998,4.5,163.9,3.96,105.3568
30/11/1998,4.4,164.1,4.41,106.2858
31/12/1998,4.4,164.4,4.39,105.1409
29/01/1999,4.3,164.7,4.34,104.1146
26/02/1999,4.4,164.7,4.44,105.9785
31/03/1999,4.2,164.8,4.44,108.2525
30/04/1999,4.3,165.9,4.29,108.4204
31/05/1999,4.2,166,4.5,108.7928
30/06/1999,4.3,166,4.57,109.624
30/07/1999,4.3,166.7,4.55,109.8017
31/08/1999,4.2,167.1,4.72,107.0592
30/09/1999,4.2,167.8,4.68,105.1562
29/10/1999,4.1,168.1,4.86,104.0455
30/11/1999,4.1,168.4,5.07,104.9565
31/12/1999,4,168.8,5.2,105.3081
31/01/2000,4,169.3,5.32,105.44
29/02/2000,4.1,170,5.55,108.0292
31/03/2000,4,171,5.69,108.0829
28/04/2000,3.8,170.9,5.66,108.648
31/05/2000,4,171.2,5.79,112.2103
30/06/2000,4,172.2,5.69,109.307
31/07/2000,4,172.7,5.96,110.3969
31/08/2000,4.1,172.7,6.09,112.076
29/09/2000,3.9,173.6,6,113.586
31/10/2000,3.9,173.9,6.11,115.3843
30/11/2000,3.9,174.2,6.17,116.2994
29/12/2000,3.9,174.6,5.77,114.6981
31/01/2001,4.2,175.6,5.15,113.9542
28/02/2001,4.2,176,4.88,115.1021
30/03/2001,4.3,176.1,4.42,117.9908
30/04/2001,4.4,176.4,3.87,119.4723
31/05/2001,4.3,177.3,3.62,119.4638
29/06/2001,4.5,177.7,3.49,120.5303
31/07/2001,4.6,177.4,3.51,120.8459
31/08/2001,4.9,177.4,3.36,118.0642
28/09/2001,5,178.1,2.64,117.1102
31/10/2001,5.3,177.6,2.16,118.3051
30/11/2001,5.5,177.5,1.87,119.8876
31/12/2001,5.7,177.4,1.69,120.8584
31/01/2002,5.7,177.7,1.65,123.2356
28/02/2002,5.7,178,1.73,124.0789
29/03/2002,5.7,178.5,1.79,122.7636
30/04/2002,5.9,179.3,1.72,121.9234
31/05/2002,5.8,179.5,1.73,118.5031
28/06/2002,5.8,179.6,1.7,115.3204
31/07/2002,5.8,180,1.68,112.2609
30/08/2002,5.7,180.5,1.62,113.6961
30/09/2002,5.7,180.8,1.63,114.0363
31/10/2002,5.7,181.2,1.58,114.8948
29/11/2002,5.9,181.5,1.23,113.1607
31/12/2002,6,181.8,1.19,112.3098
31/01/2003,5.8,182.6,1.17,109.2987
28/02/2003,5.9,183.6,1.17,108.4921
31/03/2003,5.9,183.9,1.13,107.6367
30/04/2003,6,183.2,1.13,107.578
30/05/2003,6.1,182.9,1.07,102.8366
30/06/2003,6.3,183.1,0.92,102.0692
31/07/2003,6.2,183.7,0.9,103.8004
29/08/2003,6.1,184.5,0.95,104.9751
30/09/2003,6.1,185.1,0.94,102.9378
31/10/2003,6,184.9,0.92,98.8298
28/11/2003,5.8,185,0.93,98.4597
31/12/2003,5.7,185.5,0.9,96.1806
30/01/2004,5.7,186.3,0.88,94.2601
27/02/2004,5.6,186.7,0.93,94.7228
31/03/2004,5.8,187.1,0.94,96.3962
30/04/2004,5.6,187.4,0.94,97.3588
31/05/2004,5.6,188.2,1.02,99.2367
30/06/2004,5.6,188.9,1.27,97.4695
30/07/2004,5.5,189.1,1.33,96.4439
31/08/2004,5.4,189.2,1.48,96.7593
30/09/2004,5.4,189.8,1.65,96.3829
29/10/2004,5.5,190.8,1.76,94.3695
30/11/2004,5.4,191.7,2.07,90.7349
31/12/2004,5.4,191.7,2.19,89.7632
31/01/2005,5.3,191.6,2.33,90.6687
28/02/2005,5.4,192.4,2.54,91.5229
31/03/2005,5.2,193.1,2.74,90.518
29/04/2005,5.2,193.7,2.78,92.198
31/05/2005,5.1,193.6,2.84,93.2468
30/06/2005,5,193.7,2.97,95.0438
29/07/2005,5,194.9,3.22,96.3094
31/08/2005,4.9,196.1,3.44,94.626
30/09/2005,5,198.8,3.42,94.2791
31/10/2005,5,199.1,3.71,96.0706
30/11/2005,5,198.1,3.88,97.9429
30/12/2005,4.9,198.1,3.89,97.2327
31/01/2006,4.7,199.3,4.24,95.5118
28/02/2006,4.8,199.4,4.43,96.5982
31/03/2006,4.7,199.7,4.51,96.4477
28/04/2006,4.7,200.7,4.6,95.2457
31/05/2006,4.6,201.3,4.72,91.4164
30/06/2006,4.6,201.8,4.79,92.6739
31/07/2006,4.7,202.9,4.95,93.1388
31/08/2006,4.7,203.8,4.96,92.4455
29/09/2006,4.5,202.8,4.81,92.9916
31/10/2006,4.4,201.9,4.92,93.9569
30/11/2006,4.5,202,4.94,92.8803
29/12/2006,4.4,203.1,4.85,92.1357
31/01/2007,4.6,203.437,4.98,93.9832
28/02/2007,4.5,204.226,5.03,93.6807
30/03/2007,4.4,205.288,4.94,92.5186
30/04/2007,4.5,205.904,4.87,91.2917
31/05/2007,4.4,206.755,4.73,91.0223
29/06/2007,4.6,207.234,4.61,91.0475
31/07/2007,4.7,207.603,4.82,89.5162
31/08/2007,4.6,207.667,4.2,88.9676
28/09/2007,4.7,208.547,3.89,87.2388
31/10/2007,4.7,209.19,3.9,85.4948
30/11/2007,4.7,210.834,3.27,83.1783
31/12/2007,5,211.445,3,84.7593
31/01/2008,5,212.174,2.75,83.6795
29/02/2008,4.9,212.687,2.12,83.2
31/03/2008,5.1,213.448,1.26,80.0722
30/04/2008,5,213.942,1.29,80.5006
30/05/2008,5.4,215.208,1.73,81.0241
30/06/2008,5.6,217.463,1.86,81.952
31/07/2008,5.8,219.016,1.63,81.4451
29/08/2008,6.1,218.69,1.72,84.7597
30/09/2008,6.1,218.877,1.13,85.8999
31/10/2008,6.5,216.995,0.67,89.5604
28/11/2008,6.8,213.153,0.19,91.6004
31/12/2008,7.3,211.398,0.03,88.9756
30/01/2009,7.8,211.933,0.13,89.1455
27/02/2009,8.3,212.705,0.3,91.4169
31/03/2009,8.7,212.495,0.21,92.7976
30/04/2009,9,212.709,0.16,91.5406
29/05/2009,9.4,213.022,0.18,87.9875
30/06/2009,9.5,214.79,0.18,86.3016
31/07/2009,9.5,214.726,0.18,85.4601
31/08/2009,9.6,215.445,0.17,84.3456
30/09/2009,9.8,215.861,0.12,82.7086
30/10/2009,10,216.509,0.07,81.3948
30/11/2009,9.9,217.234,0.05,80.7918
31/12/2009,9.9,217.347,0.05,81.7346
29/01/2010,9.8,217.488,0.06,82.433
26/02/2010,9.8,217.281,0.11,83.8993
31/03/2010,9.9,217.353,0.15,83.7979
30/04/2010,9.9,217.403,0.16,84.3184
31/05/2010,9.6,217.29,0.16,87.1218
30/06/2010,9.4,217.199,0.12,87.3457
30/07/2010,9.4,217.605,0.16,84.763
31/08/2010,9.5,217.923,0.16,83.6063
30/09/2010,9.5,218.275,0.15,82.6851
29/10/2010,9.4,219.035,0.13,79.8029
30/11/2010,9.8,219.59,0.14,80.4228
31/12/2010,9.3,220.472,0.14,81.4647
31/01/2011,9.1,221.187,0.15,80.5633
28/02/2011,9,221.898,0.13,79.6521
31/03/2011,9,223.046,0.1,78.4335
29/04/2011,9.1,224.093,0.06,77.7222
31/05/2011,9,224.806,0.04,77.4426
30/06/2011,9.1,224.806,0.04,77.233
29/07/2011,9,225.395,0.04,76.6807
31/08/2011,9,226.106,0.02,76.2987
30/09/2011,9,226.597,0.01,78.0538
31/10/2011,8.8,226.75,0.02,78.5091
30/11/2011,8.6,227.169,0.01,79.1816
30/12/2011,8.5,227.223,0.01,80.1412
31/01/2012,8.3,227.86,0.03,80.2094
29/02/2012,8.3,228.377,0.09,79.4447
30/03/2012,8.2,228.894,0.08,80.6416
30/04/2012,8.2,229.286,0.08,80.2479
31/05/2012,8.2,228.722,0.09,81.0915
29/06/2012,8.2,228.506,0.09,81.9948
31/07/2012,8.2,228.475,0.1,82.1002
31/08/2012,8.1,229.844,0.1,81.1751
28/09/2012,7.8,230.987,0.11,79.5712
31/10/2012,7.8,231.655,0.1,79.7977
30/11/2012,7.7,231.278,0.09,80.9892
31/12/2012,7.9,231.272,0.07,80.9143
31/01/2013,8,231.641,0.07,82.2311
28/02/2013,7.7,233.005,0.1,83.8242
29/03/2013,7.5,232.313,0.09,85.6327
30/04/2013,7.6,231.856,0.06,86.0821
31/05/2013,7.5,231.895,0.04,87.1556
28/06/2013,7.5,232.357,0.05,85.9219
31/07/2013,7.3,232.749,0.04,87.1471
30/08/2013,7.3,233.249,0.04,85.9313
30/09/2013,7.3,233.642,0.02,85.9362
31/10/2013,7.2,233.799,0.05,84.8178
29/11/2013,6.9,234.21,0.07,86.0785
31/12/2013,6.7,234.847,0.07,86.6455
31/01/2014,6.6,235.436,0.04,87.5078
28/02/2014,6.7,235.621,0.05,87.1033
31/03/2014,6.7,235.897,0.05,86.88
30/04/2014,6.2,236.495,0.03,86.6874
30/05/2014,6.2,236.803,0.03,86.4278
30/06/2014,6.1,237.016,0.04,86.6663
