Date,Real Disposable Personal Income,10_yearTreasury,National_Home_Price_Index,Bank Prime Loan rate,VIX,Nominal Disposable Personal Income,5_yearTreasury
31/01/1991,6369.3,8.09,75.91,9.52,20.91,4394.5,7.7
28/02/1991,6379.4,7.85,75.74,9.05,21.23,4403.1,7.47
29/03/1991,6390.6,8.11,75.58,9,16.879999,4411.5,7.77
30/04/1991,6412.7,8.04,75.57,9,18.24,4434.6,7.7
31/05/1991,6412.9,8.07,75.77,8.5,15.93,4453,7.7
28/06/1991,6445.9,8.28,75.99,8.5,19.549999,4483.4,7.94
31/07/1991,6432.8,8.27,76.08,8.5,15.18,4481.4,7.91
30/08/1991,6445,7.9,76.1,8.5,14.46,4500.2,7.43
30/09/1991,6463.7,7.65,76.19,8.2,15.85,4528.7,7.14
31/10/1991,6474,7.53,76.07,8,15.48,4544.3,6.87
29/11/1991,6486.7,7.42,76.03,7.58,20.26,4563,6.62
31/12/1991,6546.2,7.09,76.05,7.21,19.309999,4616.1,6.19
31/01/1992,6616.3,7.03,76.09,6.5,17.4,4671.7,6.24
28/02/1992,6649.9,7.34,76.15,6.5,16.68,4707,6.58
31/03/1992,6659.6,7.54,76.28,6.5,16.18,4725.3,6.95
30/04/1992,6679.4,7.48,76.35,6.5,15.53,4752.2,6.78
29/05/1992,6712.9,7.39,76.4,6.5,13.86,4782.4,6.69
30/06/1992,6741.7,7.26,76.33,6.5,13.35,4811.4,6.48
31/07/1992,6736.8,6.84,76.27,6.02,13.17,4823.7,5.84
31/08/1992,6759.6,6.59,76.24,6,13.58,4846.5,5.6
30/09/1992,6725.8,6.42,76.24,6,14.28,4830.2,5.38
30/10/1992,6682.5,6.59,76.39,6,16.15,4816.2,5.6
30/11/1992,6685.9,6.87,76.58,6,13.01,4828.3,6.04
31/12/1992,6922.8,6.77,76.68,6,12.57,5008.2,6.08
29/01/1993,6793.6,6.6,76.79,6,12.42,4926.6,5.83
26/02/1993,6817.1,6.26,76.84,6,13.16,4951.1,5.43
31/03/1993,6794.6,5.98,76.87,6,12.53,4944.8,5.19
30/04/1993,6825.9,5.97,76.94,6,12.42,4981,5.13
31/05/1993,6814.5,6.04,77.04,6,13.47,4988,5.2
30/06/1993,6800.8,5.96,77.25,6,11.26,4979.8,5.22
30/07/1993,6817.1,5.81,77.44,6,11.73,4999.6,5.09
31/08/1993,6826.9,5.68,77.62,6,11.85,5015.5,5.03
30/09/1993,6809.3,5.36,77.8,6,12.99,5007.9,4.73
29/10/1993,6772.6,5.33,77.95,6,11.46,4996.5,4.71
30/11/1993,6791.6,5.72,78.17,6,13.76,5019.8,5.06
31/12/1993,7023.2,5.77,78.34,6,11.66,5192.2,5.15
31/01/1994,6892.9,5.75,78.6,6,10.63,5097.5,5.09
28/02/1994,6908.4,5.97,78.74,6,14.87,5120.7,5.4
31/03/1994,6930.4,6.48,78.87,6.06,20.450001,5151.2,5.94
29/04/1994,6932.6,6.97,79,6.45,13.77,5158.8,6.52
31/05/1994,7016.1,7.18,79.24,6.99,13.03,5228.6,6.78
30/06/1994,7002.8,7.1,79.44,7.25,14.97,5231.2,6.7
29/07/1994,7008.8,7.3,79.61,7.25,11.13,5252.3,6.91
31/08/1994,7019.1,7.24,79.8,7.51,11.97,5271.8,6.88
30/09/1994,7048.2,7.46,79.93,7.75,14.28,5299.5,7.08
31/10/1994,7113.4,7.74,80.08,7.75,14.56,5357.7,7.4
30/11/1994,7111.1,7.96,80.16,8.15,15.95,5366.4,7.72
30/12/1994,7144.2,7.81,80.31,8.5,13.2,5394.9,7.78
31/01/1995,7174.2,7.78,80.44,8.5,11.96,5428.2,7.76
28/02/1995,7190.3,7.47,80.55,9,11.75,5449.6,7.37
31/03/1995,7208.3,7.2,80.62,9,13.37,5473,7.05
28/04/1995,7153.1,7.06,80.68,9,11.75,5445.2,6.86
31/05/1995,7223.3,6.63,80.73,9,12.85,5506.8,6.41
30/06/1995,7245.4,6.17,80.81,9,11.38,5528.6,5.93
31/07/1995,7259.9,6.28,80.96,8.8,13.49,5546.6,6.01
31/08/1995,7265.8,6.49,81.13,8.75,11.52,5563,6.24
29/09/1995,7289.4,6.2,81.33,8.75,12.74,5585,6
31/10/1995,7297.7,6.04,81.51,8.75,13.83,5605.6,5.86
30/11/1995,7317.5,5.93,81.65,8.75,11.58,5620.9,5.69
29/12/1995,7326.1,5.71,81.77,8.65,12.52,5638.4,5.51
31/01/1996,7337.5,5.65,81.86,8.5,12.53,5660,5.36
29/02/1996,7394.6,5.81,81.98,8.25,17.040001,5712.9,5.38
29/03/1996,7419.1,6.27,82.22,8.25,18.879999,5748.8,5.97
30/04/1996,7376.4,6.51,82.45,8.25,15.83,5732.7,6.3
31/05/1996,7470.8,6.74,82.64,8.25,16.07,5816,6.48
28/06/1996,7515.5,6.91,82.78,8.25,13.68,5850.8,6.69
31/07/1996,7495.6,6.87,82.96,8.25,19.459999,5847.7,6.64
30/08/1996,7513.8,6.64,83.12,8.25,17.01,5867.7,6.39
30/09/1996,7531.8,6.83,83.29,8.25,16.950001,5897.8,6.6
31/10/1996,7530.8,6.53,83.41,8.25,18.110001,5914.7,6.27
29/11/1996,7550.6,6.2,83.58,8.25,17.139999,5941.2,5.97
31/12/1996,7577.2,6.3,83.75,8.25,20.92,5969,6.07
31/01/1997,7602.1,6.58,83.99,8.25,19.469999,5996.3,6.33
28/02/1997,7624.6,6.42,84.21,8.25,21.1,6026.6,6.2
31/03/1997,7659.5,6.69,84.48,8.3,22.139999,6060.3,6.54
30/04/1997,7664.7,6.89,84.66,8.5,20.059999,6070.2,6.76
30/05/1997,7696.3,6.71,84.9,8.5,19.190001,6092.8,6.57
30/06/1997,7720.6,6.49,85.12,8.5,21.530001,6119.8,6.38
31/07/1997,7751.8,6.22,85.37,8.5,21.48,6147.9,6.12
29/08/1997,7791.7,6.3,85.61,8.5,24.76,6184.5,6.16
30/09/1997,7813,6.21,85.89,8.5,22.91,6215.6,6.11
31/10/1997,7849.7,6.03,86.18,8.5,35.09,6252.8,5.93
28/11/1997,7898.4,5.88,86.67,8.5,27.43,6292.5,5.8
31/12/1997,7942.9,5.81,87.13,8.5,24.01,6326.8,5.77
30/01/1998,8015,5.54,87.66,8.5,21.469999,6386.8,5.42
27/02/1998,8067,5.57,88.05,8.5,18.549999,6424.3,5.49
31/03/1998,8114,5.65,88.48,8.5,24.219999,6462.2,5.61
30/04/1998,8140.5,5.64,88.92,8.5,21.18,6491.5,5.61
29/05/1998,8173.6,5.65,89.4,8.5,21.32,6527,5.63
30/06/1998,8219.9,5.5,89.88,8.5,19.709999,6558.7,5.52
31/07/1998,8234.8,5.46,90.35,8.5,24.799999,6586.4,5.46
31/08/1998,8261.8,5.34,90.82,8.5,44.279999,6616.9,5.27
30/09/1998,8287.3,4.81,91.29,8.49,40.950001,6633.1,4.62
30/10/1998,8301.1,4.53,91.75,8.12,28.049999,6658.3,4.18
30/11/1998,8335,4.83,92.23,7.89,26.01,6685.7,4.54
31/12/1998,8349.5,4.65,92.74,7.75,24.42,6704.3,4.45
29/01/1999,8381.7,4.72,93.25,7.75,26.25,6742.4,4.6
26/02/1999,8409,5,93.71,7.75,27.879999,6762.6,4.91
31/03/1999,8418.6,5.23,94.25,7.75,23.26,6775,5.14
30/04/1999,8402.6,5.18,94.82,7.75,25.07,6793.4,5.08
31/05/1999,8420.1,5.54,95.38,7.75,25.389999,6810.3,5.44
30/06/1999,8448.9,5.9,96.01,7.75,21.09,6835,5.81
30/07/1999,8458.4,5.79,96.63,8,24.639999,6860.7,5.68
31/08/1999,8494.4,5.94,97.26,8.06,24.450001,6902.1,5.84
30/09/1999,8488.3,5.92,97.9,8.25,25.41,6921.2,5.8
29/10/1999,8541.3,6.11,98.57,8.25,22.200001,6975.5,6.03
30/11/1999,8601.7,6.03,99.2,8.37,24.18,7031.1,5.97
31/12/1999,8672.2,6.28,99.88,8.5,24.639999,7106.1,6.19
31/01/2000,8744.8,6.66,100.56,8.5,24.950001,7186.2,6.58
29/02/2000,8778.7,6.52,101.34,8.73,23.370001,7236.8,6.68
31/03/2000,8800.6,6.26,102.13,8.83,24.110001,7285.9,6.5
28/04/2000,8836.9,5.99,102.92,9,26.200001,7309.2,6.26
31/05/2000,8869.8,6.44,103.68,9.24,23.65,7342.2,6.69
30/06/2000,8890.2,6.1,104.43,9.5,19.540001,7383.3,6.3
