"","x"
"1",2.1
"2",4.23807795592422
"3",5.47758412876373
"4",6
"5",5.98386184300695
"6",5.59592509872825
"7",5
"8",4.37462282019612
"9",3.95723399484178
"10",4
"11",4.65098020954192
"12",5.64180558857129
"13",6.6
"14",7.21404893422879
"15",7.41628439161379
"16",7.2
"17",6.62986109057996
"18",6.0560198079365
"19",5.9
"20",6.38872892567358
"21",6.97074748775131
"22",6.9
"23",5.71892691042942
"24",4.12395320402122
"25",3.1
"26",3.32074861779393
"27",4.21492117764531
"28",4.9
"29",4.77215269246893
"30",4.34228801132345
"31",4.4
"32",5.44989987158959
"33",6.85666751780161
"34",7.7
"35",7.36898856191343
"36",6.49030117672937
"37",6
"38",6.51859032520114
"39",7.40434999750315
"40",7.7
"41",6.78627976691164
"42",5.39600253696175
"43",4.6
"44",5.1140683849301
"45",6.23386207687208
"46",6.9
"47",6.35374298966424
"48",5.03891952592032
"49",3.7
"50",2.94133002678331
"51",2.80675611574298
"52",3.2
"53",3.98464060690624
"54",4.86368564073738
"55",5.5
"56",5.64232976781393
"57",5.38294576575194
"58",4.9
"59",4.40900328480099
"60",4.27490166662525
"61",4.9
"62",6.44387931520433
"63",8.09522534552484
"64",8.8
"65",7.88214612104833
"66",6.17753028460869
"67",4.9
"68",4.91642508949124
"69",5.70576462715153
"70",6.4
"71",6.37067203950521
"72",5.94755935493334
"73",5.7
"74",6.03422008582126
"75",6.7039979531151
"76",7.3
"77",7.49244761720975
"78",7.26978216593957
"79",6.7
"80",5.88487833422862
"81",5.06131782757106
"82",4.5
"83",4.3828538606906
"84",4.53679837562804
"85",4.7
"86",4.69111363041639
"87",4.65074792917603
"88",4.8
"89",5.2971360620883
"90",6.04909879655672
"91",6.9
"92",7.67960138048967
"93",8.16026429200449
"94",8.1
"95",7.3696436011382
"96",6.2913255169068
"97",5.3
"98",4.73812051125388
"99",4.57813734407203
"100",4.7
"101",5.02602250199447
"102",5.64797695865692
"103",6.7
"104",8.14297466595339
"105",9.24476963611507
"106",9.1
"107",7.25393068604378
"108",5.05442597836426
"109",4.3
"110",6.10426555283452
"111",8.84123015413162
"112",10.2
"113",8.61789599150694
"114",5.52509784955365
"115",3.1
"116",2.8871134441008
"117",3.89541548469086
"118",4.5
"119",3.58550208394175
"120",2.07472169316439
"121",1.4
"122",2.48939673865077
"123",4.25384589079973
"124",5.1
"125",3.945799850344
"126",1.7543391880811
"127",-1.77635683940025e-15
"128",-0.205929473360036
"129",0.795464023542572
"130",2.3
"131",3.68902915420723
"132",4.6860269399708
"133",5.1
"134",4.84610915282732
"135",4.26413192027789
"136",3.8
"137",3.75986756781681
"138",3.89077871225097
"139",3.8
"140",3.24775390923878
"141",2.60608656405157
"142",2.4
"143",2.9676353137466
"144",3.89968984635758
"145",4.6
"146",4.68540853947848
"147",4.62478368014773
"148",5.1
"149",6.52406386167278
"150",8.23450876638481
"151",9.3
"152",9.06648416197845
"153",7.98903310616483
"154",6.8
"155",6.08407356448753
"156",5.83528473488182
"157",5.9
"158",6.13055491340479
"159",6.40316128764124
"160",6.6
"161",6.63074381893035
